clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	p_values
Cardiomyocytes	0.3425614744749768	0.6120007661111346	0.0	0.0	4.0708177569589076e-16
Chromaffin cells	0.0057482625952341125	0.0	0.01853685478469635	0.0	4.272055008260519e-06
Erythroblasts	0.01734363357107012	0.02874411502257001	0.0	0.0	2.06471496698446e-07
Intestinal epithelial cells	0.12481181283170364	0.0	0.43740608935874176	0.0	4.0708177569589076e-16
Lymphoid cells	0.10059459541659697	0.07004801036122132	0.20496552301153406	0.0	5.746498647300295e-11
Myeloid cells	0.03897565352271172	0.0338484566838131	0.06366491790366505	0.0	1.5058256093143497e-06
Satellite cells	0.03953071062516157	0.0	0.0	0.25738403943125887	4.0708177569589076e-16
Skeletal muscle cells	0.05491263553277878	0.0	0.0	0.35542870736260523	4.0708177569589076e-16
Smooth muscle cells	0.0348849587128758	0.026519551920251055	0.040344042654458054	0.039962034663894724	0.22771079264222333
Stromal cells	0.1882555999939172	0.15985400821942375	0.20686013107234708	0.24465691829070352	0.04213812182601152
Vascular endothelial cells	0.05238066272297328	0.05571161529122687	0.0162202702652884	0.09362279345068261	0.000530221915707213
