clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	f_statistics	p_values	adjusted_p_values
Cardiomyocytes	0.3425614744749768	0.6629073828254518	0.0	0.0	1285.3988899408057	5.10702591327572e-15	5.617728504603292e-14
Chromaffin cells	0.0057482625952341125	0.0	0.019418683730309177	0.0	97.387079364669	2.8446455080377575e-08	3.9113875735519166e-08
Erythroblasts	0.01734363357107012	0.023151214905569845	0.0	0.0	481.7628327800229	2.0408119638659628e-12	1.1224465801262795e-11
Intestinal epithelial cells	0.12481181283170364	0.0	0.40600153699286756	0.0	152.68530054733432	2.041850688527802e-09	4.492071514761165e-09
Lymphoid cells	0.10059459541659697	0.04783282141761748	0.23862575645806547	0.0	167.49268596261575	1.1796300602995302e-09	3.243982665823708e-09
Myeloid cells	0.03897565352271172	0.030123249629169457	0.07475162816808191	0.0	405.55550552198537	5.8051341511600185e-12	2.1285491887586737e-11
Satellite cells	0.03953071062516157	0.0	0.0	0.25858644025547095	126.97728658876613	6.053813894624227e-09	9.513136120123785e-09
Skeletal muscle cells	0.05491263553277878	0.0	0.0	0.3501920159132079	134.41427732862536	4.332220804315057e-09	7.942404807910938e-09
Smooth muscle cells	0.0348849587128758	0.030924323156409354	0.0416861841453534	0.04180585553794187	0.49710519881459464	0.6199895945168005	0.6199895945168005
Stromal cells	0.1882555999939172	0.14684715375436197	0.20169578284396966	0.24992623420078397	2.968278826934731	0.08870475832506086	0.09757523415756696
Vascular endothelial cells	0.05238066272297328	0.05821385431141986	0.017820427661353118	0.09948945409259509	13.710773830814366	0.000737393368124506	0.0009012585610410627
