clusters	baseline_props	mean_props_Healthy	mean_props_Moderate	mean_props_Severe	f_statistics	p_values	adjusted_p_values
B cells	0.003342804613070366	0.003503266227464584	0.012989518203269372	0.004005390607425881	3.2000321706789236	0.07537268783808637	0.12562114639681063
Epithelial	0.05365201403977937	0.130245919439191	0.05190340568188189	0.11845537178007813	0.31004011099522333	0.7388828881905776	0.8209809868784195
Macrophages	0.7508698889277194	0.735289783112163	0.5129958436193349	0.6043162370636124	1.2379126787782695	0.32312936881559073	0.4039117110194884
Mast	0.0010636196496132983	0.002337334947784396	0.0022204851926184766	0.0016990010302980203	0.04221194061367396	0.9588022465954947	0.9588022465954947
NK cells	0.016425326303313934	0.00889432932164376	0.052465922787309764	0.017978750490470853	7.5348898840951275	0.007097252421132683	0.023657508070442278
Neutrophil	0.02441766824183672	0.0	0.0012044311618173856	0.055593846147918444	7.709303896066864	0.006560077095859929	0.023657508070442278
Plasma	0.01581754364639205	0.00022442760703424391	0.00214990863664543	0.050912722901676845	1.3873926238304608	0.28556026136166157	0.4039117110194884
T cells	0.11724127452023156	0.09459448056708913	0.3250295633500187	0.13709743471955108	5.454035345133809	0.019765386647739858	0.049100308500379164
mDC	0.014860285961740083	0.02377618158821232	0.0308311485225831	0.008875552878499313	5.055541485719241	0.024550154250189582	0.049100308500379164
pDC	0.002309574096303162	0.0011342771894175666	0.00820977284452121	0.001065692380469411	7.893591735336679	0.006043004830271204	0.023657508070442278
